GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fit,fit,ProgramManagement,64,211,4,16,14,42,5,9,1,3
fit,fit,ProgramMonitoring.FitnessProgram,0,33,0,0,0,12,0,6,0,6
fit,fit,ClientInteraction,112,184,4,8,19,25,6,7,2,5
fit,fit,NotificationsAndUpdates,52,89,1,7,10,16,2,5,1,2
fit,fit,SignupSource.User,0,33,0,0,0,12,0,6,0,6
fit,fit,SubscriptionManagementSource.Subscription,0,19,0,0,0,8,0,4,0,4
fit,fit,AccountManagement,512,408,72,38,98,93,55,19,7,12
fit,fit,SignupSource,16,186,6,20,7,33,6,15,0,8
fit,fit,SubscriptionManagementSource,177,264,25,15,45,58,22,12,5,9
fit,fit,UserManagementSource,26,123,5,5,8,19,7,5,2,5
fit,fit,main,1557,0,106,0,475,0,100,0,28,0
fit,fit,ProgramMonitoring,0,145,0,2,0,24,0,10,0,9
fit,fit,SubscriptionManagementSource.SubscriptionPlan,8,15,0,0,4,6,2,3,2,3
fit,fit,User,48,35,0,0,13,14,9,5,9,5
fit,fit,SiginSource,6,82,3,9,3,23,4,8,1,5
